"ym","revenue","orders"
"2016-09","134.97","1"
"2016-10","40325.11","265"
"2016-12","10.9","1"
"2017-01","111798.36","750"
"2017-02","234223.4","1653"
"2017-03","359198.85","2546"
"2017-04","340669.68","2303"
"2017-05","489338.25","3546"
"2017-06","421923.37","3135"
"2017-07","481604.52","3872"
"2017-08","554699.7","4193"
"2017-09","607399.67","4150"
"2017-10","648247.65","4478"
"2017-11","987765.37","7289"
"2017-12","726033.19","5513"
"2018-01","924645","7069"
"2018-02","826437.13","6555"
"2018-03","953356.25","7003"
"2018-04","973534.09","6798"
"2018-05","977544.69","6749"
"2018-06","856077.86","6099"
"2018-07","867953.46","6159"
"2018-08","838576.64","6351"
